,page_number,sentence_chunk,chunk_char_count,chunk_word_count,chunk_token_count
175,96,"An example of this  is the recent Magecart attack where credit-card details of a possible 380,000 customers were taken  from Newegg and British Airways via JavaScript injection. <script type=""text/javascript""><!--  google_ad_client = ""pub-11111111"";  /* 160x600 - TOP */  google_ad_slot = ""12345"";  google_ad_width = 160;  google_ad_height = 600;  //-->  </script>  <script type=""text/javascript""  src="" http://pagead2.googlesyndication.com/pagead/show_ads.js"" >  </script>  An example of a JavaScript ad tag. Iframe Ad Tags  Usage: For rendering display ads on web pages via a desktop or mobile browser. Implementation : Iframe ad tags are HTML tags that are added to a publisher’s page code. The iframe  completely isolates the code loaded in the iframe, and therefore, prevents it from interacting with the rest of  the content of the website.",846,135,211.5
176,97,"● Increases security by isolating JavaScript code in the iframe so that it cannot interact with elements  on the website. ● Ads load after the contents of the website, which helps decrease the time it takes to load the contents  of the page. Disadvantages :  ● Limited interaction with a publisher’s website – i.e. it requires additional JavaScript code to be  installed on the publisher’s website to implement expandable ads. ● Can’t reliably track the viewability of ads. Here’s an example of an iframe ad tag from OpenX :  <iframe id='a62ae7d3' name='a62ae7d3'  src='http://delivery_server_domain/w/1.0/afr?auid=8635&cb=INSERT_RANDOM_NUMBER_HERE&rd=5&rm=3""  frameborder='0' scrolling='no' width='728' height='90'>  <a href='http://delivery_server_domain/w/1.0/rc?cs=acd22faf&cb=INSERT_RANDOM_NUMBER_HERE""  target='_blank'>  <img  src='http://delivery_server_domain/w/1.0/ai?uid=8635&cs=acd22faf&cb=INSERT_RANDOM_NUMBER_HERE""  border='0' alt='' /></a></iframe>  SafeFrame  In order to solve the issues related to both JavaScript ad tags and iframe ad tags, a new standard was  introduced – SafeFrame .",1103,145,275.75
177,97,"SafeFrame is an Interactive Advertising Bureau (IAB) standard that combines the advantages of iframe and  JavaScript tags and eliminates many of their disadvantages. The SafeFrame ad slots are implemented in JavaScript with an API that loads the actual ads in iframes, but  allows them to interact with its API to expand the content or track viewability. At the same time, it protects the  publisher’s site from unwanted changes and prevents visitors’ sensitive information from being collected. 104",499,80,124.75
178,98,"Here’s how the SafeFrame implementation works:  1. The user accesses the publisher’s website and the browser sends a request to the publisher’s web  server to fetch the content and SafeFrame ad markup. 2. SafeFrame (JavaScript) loads an iframe with the SafeFrame API, allowing it to interact with the  publisher’s site. 3.",322,54,80.5
179,98,"The ad is rendered and shown to the user. 4. At the same time, data is collected by viewability and measurement vendors to provide advertisers  with reports. It’s important to note that the ad in the iframe loaded by the SafeFrame is isolated – i.e. third-party ad  servers can run any JavaScript code inside the iframe, but it won’t affect the publisher’s website. Only  specific sets of instructions and interactions with a publisher’s site are allowed via the SafeFrame API, such  as data collection for viewability and measurement.",535,92,133.75
180,98,"VAST and VPAID (For Video Ads)  When it comes to serving video ads, the video ad-serving template (VAST) and video player ad-serving  interface definition (VPAID) formats are used. VAST is an XML schema developed by the IAB. It enables in-stream video ads (i.e. ads are displayed in the  video player, like on YouTube) served from video ad servers and played in video players on a number of  publisher sites and on different devices (e.g. desktop, mobile, tablet, etc.). VPAID is a piece of JavaScript that enables video ad units and video players to interact with one another. IMG Ad Tags  105",594,106,148.5
181,99,"IMG ad tags are HTML tags and are similar to iframe tags. Usage: These ad tags are mainly used to display ads in mobile apps and in the <noscript> section of other  types of ad tags, which are used as fallbacks when the browser does not support or execute JavaScript. Implementation:  Most AdTech platforms and publishers will only accept snippets of HTML/IMG ad tags and not full HTML  code (e.g. no <html>, <head> or <title> tags). See example of an HTML/IMG ad tag below:  <a href= ""https://www.clearcode.cc/"" > <img src= ""http://clearcode250x250.jpg"" > </a>  Advantages:  ● HTML/IMG ad tags are simple in structure and format, meaning they can be displayed in web  browsers and apps without facing too many technical issues. ● They can utilize a content-delivery network (CDN) to reduce the time it takes the browser to load  them, increasing the chances of the visitor seeing the ad.",888,156,222.0
182,99,"Disadvantages:  ● HTML/IMG ad tags can’t display rich media ads (e.g. expandable or interactive ads). Spreadsheets with ad tags  In order for advertisers to keep track of ad tags used in their campaigns, they often create spreadsheets. A typical spreadsheet will include the list of placements and the respective ad tags. Even though this is a  manual and error-prone process, it is still the most common way of trafficking the non-programmatic display  campaigns (i.e. direct deals between a publisher and advertiser) and also some programmatic campaigns  when using self-serve AdTech platforms. 106",600,97,150.0
183,100,"Ad Markup  Ad markup is a piece of code that’s retrieved from an ad server or some other AdTech platform via an ad tag  and rendered in an ad slot. Ad markup is responsible for two main activities:  1. Loading the actual creative file into the ad slot. 2. Tracking the impression by loading tracking tags (pixels) for measurement, ad verification, viewability,  etc.",366,67,91.5
184,101,"An example of simple ad markup. Chapter Summary  ● Ad serving is one of the fundamental processes in online advertising. ● A first-party ad server is used by publishers to manage the ad slots on their websites, serve ads from  direct campaigns, manage other campaigns (e.g. real-time bidding), and report on the performance of  the ads (e.g. impressions and clicks). ● A third-party ad server is used by advertisers to manage their creatives, send ads to publishers, and  collect data about the performance of their campaigns. 108",530,91,132.5
185,102,"07. Ad Targeting and Budget Control  In the context of online advertising, targeting relates to displaying ads to users who match a series of criteria. For example, let’s imagine an advertiser who sells gardening products has identified that its target audience  consists of people between the ages of 30 and 50 and who live in rural areas of the US. The advertiser would  then want to display its ads to people who match those criteria. When it comes to direct deals between an advertiser and publisher, targeting was traditionally carried out by ad  servers, whereby an advertiser would define the targeting criteria in the insertion order – e.g. state which  pages and sections of a publisher’s site to show its ads on.",722,127,180.5
186,102,"The publisher’s AdOps team would then configure the advertiser’s targeting criteria in its ad server (first-party  ad server). Even though targeting is still carried out via ad servers, many other AdTech platforms (e.g. demand-side  platforms and supply-side platforms) now offer targeting capabilities. In this chapter, we’ll talk about targeting in the context of ad servers. By setting targeting criteria for a campaign, an advertiser can choose which web traffic is relevant for them. 109",492,76,123.0
187,103,"Below are some examples of targeting methods in online advertising. Contextual Targeting  Contextual targeting allows advertisers to display relevant ads based on the website’s content rather than data  about the visitor. This method of targeting is widely used in magazines and newspapers. Contextual ads are a way to precisely target the ad without excessive need for personal data. Many advertisers and publishers use contextual targeting, either in isolation or in combination with other  targeting methods, because it’s very effective for specific kinds of content.",570,87,142.5
188,104,"In contextual targeting, every element of the process uses information about the website and page to determine  which ads to display. A step-by-step explanation of how contextual targeting works:  1. A web crawler scans URLs and categorizes the content and ad placements. 2. When a visitor accesses a website, information associated with the URL is passed to the ad server via  the ad request.",393,67,98.25
189,104,"3. This ad request and the contextual information is passed on to other AdTech platforms, such as ad  exchanges and supply-side platforms. 4. The ad exchanges and supply-side platforms relay this information to demand-side platforms, which  then bid on the impression. 5.",271,44,67.75
190,105,"Benefits of Contextual Targeting  Although contextual targeting may seem rather simple compared to other targeting methods, it provides  advertisers and publishers with a number of benefits:  ● Most contextual ads don’t rely on personal data, helping advertisers and publishers reduce their  exposure to privacy and data-protection regulations, like the GDPR. ● Contextual ads can offer safer brand protection. ● They have shown they can increase purchase intent by 63%. ● They are found to be less unnerving than behaviorally targeted ads, while still being based on the  interests of users – e.g. advertisers can show ads for smartphone plans to people reading articles  about smartphones. Keywords  Keywords are valuable targeting variables for advertisers as they provide an accurate picture of the type of  content the website visitor is consuming.",853,137,213.25
191,105,"There are a couple of ways an ad server can identify which keywords are on a given web page, such as via the  tags used on the page by the editor that highlight the key topics covered in the content and via extracting the  keywords found on the page, usually done either with JavaScript or server-side web crawling. These keywords are then typically passed to the ad tag, so that the ad server receives them in the ad request  and uses them in the decisioning process (when deciding which ad to serve). So, for example, if an advertiser wants to display ads promoting a new smartphone plan, it would target visitors  who read articles containing the keywords smartphone , mobile phone , etc. Ad Slot and Ad Position  Advertisers may also want to display ads that are of a certain size or located in a specific area of a webpage –  for example, ad slots that are 728×90 px and located at the top of the page. Because this type of targeting is quite broad, it is usually combined with other targeting methods.",1007,189,251.75
192,105,"Publisher’s URL  Targeting users based on the publisher’s URL is very similar to the way advertisers target consumers in print  media. By displaying ads on specific websites, advertisers are able to reach a broad range of online consumers based  on their interests, rather than based on their demographic information like age and gender. There are two levels at which advertisers can target website visitors:  112",413,69,103.25
193,106,"Domain  Advertisers can target audiences based on the publisher’s domain name. However, this only applies in a direct  advertiser-publisher relationship where the publisher owns many different websites. This is often connected with run-on-site (ROS) targeting in ad networks, whereby advertisers show their ads on  specific domains. Section and URLs  The advertiser may choose to target certain sections of the site. For example, if a site covers a lot of topics (like a news site), the advertiser may want to only target the  technology section or entertainment section.",571,92,142.75
194,106,"The problem is that usually these aren’t clearly identified by just the URL and the publisher may need to pass  the section name in the ad tag to enable the ad server to use this variable in its targeting. This method of targeting is often connected with run-on-network (RON) targeting in ad networks, whereby  advertisers show their ads on a specific group of websites. IP and Geolocation  Geolocation targeting involves displaying ads to users based on their current location. For example, if an online consumer was reading news articles on a laptop in Chicago, they could very well see  ads promoting shops, restaurants and services in the Chicago area. But how do advertisers know where consumers are located?",713,122,178.25
195,106,"An ad server receives a request from the consumer’s browser, which carries its IP address. The IP address is  mapped to the specific location of the consumer using an external database, such as MaxMind or Neustar ,  which maps the IP address to the country, region and city. 113",278,51,69.5
196,107,"The image above is a query from MaxMind. Native mobile apps can also pass the exact longitude and latitude from a smartphone’s GPS to the ad server. In such cases, the ad server is capable of targeting the users within a radius of a certain point (e.g. within five  miles of a given point of sale). This makes geolocation targeting much more accurate and precise than the IP  address method. However, even GPS information can sometimes be inaccurate and even fraudulent.",470,83,117.5
197,107,"To improve the accuracy of location data, some data companies collect, aggregate, and combine different data  points and sensors. Imagine this situation: A consumer is eating a sandwich on a bench in downtown New York and playing a  game on their smartphone. Starbucks (i.e. the advertiser) could display an ad to that consumer encouraging  them to visit the Starbucks cafe located five minutes down the road from the consumer’s location. Browser Type, Operating System and Device Type  Every ad request to the ad server carries a user-agent HTTP header, e.g.:  User-agent: Mozilla/ 5.0 (Macintosh ; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML,  like Gecko) Chrome/60.0.3112.101 Safari/537.36  This is Mac OS X 10.12 .6 running Chrome 60.0 .3112.101  In the example above, 14D27 identifies as an iPhone 7 Plus, and we see it’s running iOS 10.2.1. From this information, we can parse the operating system, browser type and version, and can detect the  device type, brand and model (in the case of mobile devices, as shown above with the iPhone).",1050,178,262.5
198,108,"Targeting online consumers based on their hardware or software enables advertisers to reach a specific  audience with a highly relevant message. For example, a mobile-gaming company could display ads promoting its newly developed Android game to  consumers using Android-powered smartphones and tablets. IAB Content Taxonomy  The IAB provides a standard for the categorization of websites. Advertisers are able to purchase digital ad space based on the categories supplied in the ad request, and can  also choose not to show their ads on websites based on the categories. Below is a shortened list of the taxonomy:  115",619,101,154.75
199,109,"Unique ID  Tier 1  Tier 2  Tier 3  1  Automotive  2  Automotive  Auto Body Style  3  Automotive  Auto Body Style  Commercial Trucks  ...  ...  ...  ...  52  Business and Finance  53  Business and Finance  Business  54  Business and Finance  Business  Business Accounting &  Finance  ...  ...  ...  ...  223  Healthy Living  224  Healthy Living  Children’s Health  225  Healthy Living  Fitness and Exercise  Participant Sports  ...  ...  ...  ...  239  Hobbies & Interests  255  Hobbies & Interests  Arts and Crafts  Photography  ...  ...  ...  ...  656  Travel  Travel Locations  Africa Travel  657  Travel  Travel Locations  Asia Travel  658  Travel  Travel Locations  Australia and Oceania  Travel  ...  ...  ...  ...  The IAB Content Taxonomy contains over 30 Tier 1 categories and over 1,100 individual entries (rows). Below is part of the IAB Content Taxonomy from the OpenRTB (version 2.4) specification, containing 390+  content categories:  116",952,216,238.0
200,110,"Examples of some IAB content categories. Source: Github  Day of Week and Time of Day  Displaying ads to consumers based on the day of the week and even time of day can allow advertisers to  reach their desired audience at the right time, and also to avoid wasting their ad budget. For example, an advertiser that works for a large pizza restaurant could advertise its Friday night specials on  Friday afternoons between 3–8pm. This would work out to be especially beneficial if its ad was being displayed  next to competitors that weren’t offering any special promotions targeted for that particular day. Similarly, if a brand notices that ad engagement is higher at certain times of day, then it could opt to display ads  to its audiences at those times.",755,135,188.75
201,110,"Not only would the brand increase the chances of reaching its target audience,  but would also increase ad engagement, click-through rates and conversions. 117",159,25,39.75
202,111,"Behavioral Targeting  Behavioral targeting, also known as online behavioral advertising (OBA), allows advertisers and publishers to  display relevant ads and marketing messages to users based on their web-browsing behavior. The types of data collected for behavioral targeting include:  ● Pages viewed  ● Previous search terms  ● Amount of time spent on a website  ● Ads and buttons clicked  ● Content viewed and downloaded  ● Purchases  ● Date of the last website visit  ● Other information about their interactions with various websites  118",543,93,135.75
203,112,Online behavioral targeting uses information about the user to determine which ads to display. The behavioral targeting process consists of three main steps:  119,162,25,40.5
204,113,"1. Data Collection  Advertisers, publishers, and DMPs collect data about the actions users carry out across different websites. This data is often referred to as event data and includes page views, products views, products purchased, and  other interactions on a website or mobile app. This data is then tied together via identifiers stored inside  third-party and first-party cookies in web browsers, or mobile IDs in mobile apps. User profiles are then created to store a given user’s event data in one place and assign all future event data  to that user profile.",566,96,141.5
205,113,"An identifier, such as an ID in a third-party cookie or a mobile ID, would be used to link a  user with their actions across different websites and assign the event data to the right user profile. 2. Audience Creation  Advertisers and publishers then create audiences that are made up of individual user profiles. For example, an advertiser could create an audience that includes people who have viewed a given product  more than three times in a month, signed up for a newsletter, and have visited their website at least 15 times in  the past 60 days. 3.",555,102,138.75
206,113,"Application of Data  The advertiser then uses those audiences for ad targeting in its online media campaigns, resulting in the ads  being more relevant to the users and increasing the chances of them converting (e.g. purchasing a product). The three main steps of the behavioral targeting process. 120",301,50,75.25
207,114,"Benefits of Behavioral Targeting  The amount of data marketers have about users allows them to create very detailed profiles and display ads  relevant to each audience accordingly. The premise behind behavioral targeting is that it benefits the visitor as much as it benefits the website  displaying the ads – i.e users are shown ads that they are actually interested in, which improves the user  experience of the website. However, online users have become aware of how online advertising companies collect and use their data,  which has resulted in some users becoming concerned about this type of targeting and resulted in the rise of  ad-blocking software. Challenges of Behavioral Targeting and the Impact of the GDPR  With privacy laws like the General Data-Protection Regulation (GDPR) in effect, this targeting method became  challenged by stricter rules concerning storing cookies in a user’s browser. The EU law forced marketers to reduce their dependence on behavioral data and look for new targeting  methods that don’t rely heavily on collecting and using personal data.",1083,178,270.75
208,114,"In addition to privacy laws, there are also privacy settings in popular web browsers, such as Safari’s Intelligent  Tracking Prevention (ITP) and Firefox’s Enhanced Tracking Protection (ETP) , that block third-party cookies by  default and put restrictions on other types of cookies. Google Chrome, which is the most popular web browser  globally, will also turn off support for third-party cookies in 2022. In addition to the privacy changes in web browsers, Apple has made some changes to how its identifier for  advertisers (IDFA) can be accessed by app developers and AdTech companies to increase user privacy. These privacy changes make running behavioral advertising campaigns extremely limited, if not impossible. In a privacy-first world, some advertising platforms that previously prided themselves on their  behavioral-targeting capabilities are now turning to contextual advertising, where the power lies in minimized  reliance on personal data.",956,146,239.0
209,114,"However, due to the huge time, cost and resource investments AdTech and data-collection companies have  made in collecting and using behavioral data, this shift is a slow one. Please refer to chapter 14. User Privacy in Digital Advertising for more information about these privacy  topics. Retargeting  Retargeting involves showing ads to online visitors who have interacted with the brand in the past. For example, if an online visitor views a pair of shoes, then they’ll likely see the same pair of shoes (or even  different ones) advertised on different websites.",566,94,141.5
210,115,"The process works by placing a 1×1 transparent image (a pixel) on a website. Then, when the page loads, the  pixel sends a request to an AdTech platform (e.g. a demand-side platform) to retrieve the 1×1 transparent  image. As the image is returned to the web browser, the DSP creates a cookie, if one wasn’t created previously, and  saves it on the visitor’s device. Then, when the visitor accesses a different website, the DSP is able to identify that user and show them the  retargeted ad – i.e. the shoes they viewed on the previous website. Here’s a visual representation of how retargeting works:  122",606,110,151.5
211,117,Here’s an overview of what’s happening in the image above:  1. An online shopper visits shoeholics.com and views a pair of shoes. 2. The retargeting service’s code located in between the <footer> tags sends a request for a 1×1 pixel. 3.,236,42,59.0
212,117,"The retargeting service sends back the 1×1 pixel and saves a cookie to the shopper under their domain  (ads.retargetser.com), storing information about the shopper and their behavior, such as the product  they viewed. 4. The shopper leaves shoeholics.com and visits a different website — news.com — and sees an ad for  the exact same pair of shoes that they were looking at previously. The DSP is able to identify the same visitors across different websites by syncing cookies with other AdTech  platforms – for example, supply-side platforms (SSPs) and ad exchanges. Similarly to behavioral targeting, many online visitors have come to dislike retargeted ads, as they appear to  “follow” visitors around the internet.",718,118,179.5
213,117,"Please refer to the 11. Data Management Platforms (DMPs) & Data Usage chapter for more information  about cookie syncing. Demographic  Demographic targeting is one of the most powerful forms of targeting and can be used in combination with  other methods to really refine the targeting criteria. At the same time, it’s very tricky because most publishers  don’t ask nor collect this type of information from their visitors, except for companies like Facebook and  Google. Examples of demographic information include, but are not limited to:  ● Age  ● Gender  ● Annual income  ● Marital status  ● Parental status  ● Occupation  So, for example, if an advertiser wanted to display ads promoting baby products to female users, between 20  and 40 years of age, who have one child or more, it could use demographic targeting and other targeting  methods to display ads to the right visitors.",886,158,221.5
214,117,"With campaigns run on independent AdTech platforms (i.e. not via Google, Facebook, LinkedIn, etc.), advertisers can use demographic targeting by using audience segments in their DMP or via the data contained  in the User object in OpenRTB bid requests. When running campaigns using demographic data on Google and Facebook and other platforms that collect  this type of data directly from users, advertisers simply need to set up the targeting criteria inside those  platforms. 124",480,77,120.0
215,118,"An example of how to use demographic targeting when advertising on Facebook. Controlling a Campaign’s Budget  When running an ad campaign, advertisers not only focus on making changes to improve its effectiveness by  adjusting the message, placement, targeting, etc.,but also aim to reduce ad waste by optimizing and  improving the efficiency of their campaign’s budgets. What is ad waste? Ad waste is inventory that the advertiser paid for but didn’t reach the target audience – e.g. was shown to  the wrong audience or a bot.",527,89,131.75
216,118,"There are a number of factors that can cause an ad to be deemed wasted, including viewability, ad fraud,  incorrect frequency. We cover these areas throughout the book. Below are just a few areas advertisers look at when controlling and managing their campaign budgets, all of  which can be implemented in an ad server or DSP:  125",331,60,82.75
217,119,"Budget Capping  Adding a budget cap to an ad campaign sets a limit on how much money will be spent. For example, you could set a daily budget cap of $150, meaning that once the campaign has spent that  amount of money, no more ads will be shown that day. Limiting a campaign’s budget involves putting a total and daily cap on the amount of money a campaign  spends. In this case, once the daily budget has been spent, the campaign will stop for that day. Some platforms will add a certain percentage (e.g. 20%) on top of the daily budget to help advertisers get the  most out of their campaign  The image above illustrates how a maximum daily budget could be spent.",665,128,166.25
218,119,"The daily cap can be larger to make up for the under-delivery of ads on certain days, but it may cause the  campaign to stop prematurely. Budget Distribution (aka Pacing)  Pacing refers to how quickly or slowly the budget of the campaign is spent, which impacts how many  impressions are served to online consumers over any given period during the campaign’s lifetime. 126",372,66,93.0
219,120,"For example, you may want to get your ads in front of as many consumers as quickly as you can, so you would  choose to deliver the maximum number of impressions as soon as possible, known as ASAP pacing . Alternatively, you may choose to distribute your ads evenly and allow them to run for the duration of the  campaign’s proposed dates, known as uniform pacing . Examples of ASAP and uniform pacing:  In the real world, pacing also has to account for the fluctuation of ad traffic throughout the day and the  availability of the ad impressions matching the campaign’s targeting criteria. Ad platforms can adjust the speed in which they spend the campaign budget based on performance,  availability of traffic, and price of the inventory/audience:  127",753,134,188.25
220,121,Frequency Capping  Frequency capping involves limiting the number of times the same ad is shown to a given visitor. For example: three impressions per visitor per 24 hours. Frequency capping is important because it:  ● Limits budget waste. ● Helps to improve a campaign’s overall reach. ● Prevents so-called “overexposure” (a user’s frustration over seeing the ad multiple times).,380,61,95.0
221,122,"An example of implementing frequency capping in Google Ads. Let’s see a frequency-capping example:  Three impressions per visitor per 24 hours  Each time frequency capping is evaluated, the number of impressions within the period of time is counted. For a 24-hour cap of three impressions, the impressions could fire at 7:00, 19:00, 1:00 the next day and 10:00  the next day. The user will never see the same ad more than three times within a 24-hour period. 129",462,81,115.5
222,123,"How Is Frequency Capping Implemented? First, the ad server registers and stores the number of times an ad (impression) from a particular campaign is  displayed to a consumer based on their identifiers (e.g. cookies, device IDs, device fingerprints, etc.). Then, it stores this information server-side (i.e. in the ad server) along with the user’s identifier. This information is often referred to as user profiles on AdTech platforms. Every user profile contains the information associated with the given cookie ID or device ID, such as the ads  that the user was exposed to.",575,94,143.75
223,123,"They are typically stored in in-memory or other fast-access databases so that the information can be quickly  fetched during the decisioning process of the ad server. Why not store this information client-side (i.e. in a third-party cookie)?Here are a couple of reasons:  ● The cookie size would dramatically increase. Instead of storing a single ID, we would have to store  each ad ID with the corresponding impressions and their time. ● It’s not portable to other visitor-identification technologies, such as device IDs (AdID / IDFA).",536,88,134.0
224,123,"Chapter Summary  ● There are many different targeting methods that advertisers can use. ● The most popular ones are contextual, behavioral, and demographic. ● Advertisers can control their advertising budgets by setting daily and campaign caps, as well as using  pacing and frequency capping. 130",296,47,74.0
225,124,"08. Tracking and Reporting Impressions, Clicks, and  Conversions in AdTech Platforms  In the previous chapters of this book, we looked at how advertisers and publishers use AdTech platforms to set  up and run campaigns. In this chapter we’ll take a look at how AdTech platforms collect data so advertisers and publishers can track  and view detailed reports about the performance of their campaigns. 131",403,68,100.75
226,125,"Most of the explanations and examples in this chapter illustrate how tracking and reporting works in both a  publisher’s and an advertiser’s ad server, but many other platforms like DSPs and SSPs also include these  functionalities. Impression, Click, and Conversion Tracking  Tracking is an important part of an AdTech platform and is the first step in understanding the performance of an  ad campaign and measuring key metrics. Essentially, tracking involves gathering data about an ad campaign. There are a number of areas that AdTech platforms track, including basic metrics like impressions, clicks and  conversions, and others like viewability and ad-exposure time. They can also track metrics from video ads,  such asplays, completion rates, and average time played.",773,123,193.25
227,125,"Impression Tracking  Impression tracking is quite simply tracking the number of impressions each ad receives. An impression is counted each time it is displayed to a user. For example, if a user visits a web page and sees an ad, then reloads the page and sees the exact same ad  again, two impressions would be counted. The most popular method of counting an impression is to serve a 1×1 transparent image that notifies the ad  server of an impression. It’s called an impression tracker (or impression pixel ).",510,91,127.5
228,125,"The ad server returns a pixel in the ad markup to count the impression when the browser renders the ad  markup – as opposed to counting it when the ad server selects the ad – and returns the ad markup to the  browser. This way, the ad impression is counted when the browser loads the creative. Here’s an example of an impression tracker from the Google Ad Manager ad server (formerly DoubleClick For  Publishers):  132",418,79,104.5
229,126,"The ad server can include a number of additional pixels in the ad markup from third-party AdTech platforms in  order to count the impression in multiple systems – e.g. a third-party ad server used only for measurement or  an ad-verification platform. This process of loading other tags or pixels making calls to other platforms is known as piggybacking . There are two main methods of counting an impression in both the publisher’s and advertiser’s ad servers:  Method 1  The publisher’s ad server includes two 1×1 pixels in the ad markup. The first pixel sends a request to the publisher’s ad server, which counts the impression, and the second  pixel sends a request to the advertiser’s ad server, which also counts the impression. Both pixels are sent to their respective ad servers at the same time.",803,140,200.75
230,126,Impression tracking: Method 1  Method 2  Both the publisher’s and the advertiser’s ad servers count the impression only when their respective ad  servers have received a request for an ad. 133,192,34,48.0
231,127,"Impression tracking: Method 2  Click Tracking  Tracking the number of clicks an ad receives is typically done via a click tracker. A click tracker is the URL of the ad server’s redirect service, which counts the click and redirects the visitor to  the final landing page of the campaign. The ad server returns the click tracker in the ad markup in order to count the click before the visitor is  redirected to the final landing page. Below is an example of a click tracker from the Google Ad Manager ad server:  Here’s the basic flow of how a click tracker works:  134",568,108,142.0
232,128,"How click tracking works in a publisher’s ad server. The diagram above illustrates how click tracking works with a publisher’s ad server, but what if the advertiser  wants to track the click as well? To achieve this, they would need to add a click redirect from the publisher’s ad server to the advertiser’s ad  server, then redirect the user to the landing page. 135",367,66,91.75
233,129,"How click tracking works in a publisher’s and advertiser’s ad servers. The reason why the advertiser’s ad server would also count the same click and impression is to verify the  reports provided by the publisher by comparing the number of impressions and clicks, as well as to aggregate  all campaign data in one system (i.e. the advertiser’s ad server). It is possible to add a lot more redirects to conduct more processes, such as:  ●  Ad verification to detect viewable impressions, bots, and fraudulent activity. ●  Tracking clicks in middlemen systems, such as ad networks. Click URL Macros  Click trackers can support passing the destination URL as a parameter (e.g. redir_url=).",685,117,171.25
234,129,"This functionality is  necessary to add multiple click trackers in the redirect chain and pass the URL of the next redirect dynamically  to the click tracker. Typically, when we paste a click tracker in the ad server, we can use the click URL macro to expand the URL  of the next click tracker in the chain. Here’s an example:  https://ad.example.org/click?ad_id= 123456 &redir_url=%%click_url%%  The ad server automatically expands the %%CLICK_URL%% placeholder to the next click tracker in the chain  (i.e. its own click tracker). For example:  136",550,93,137.5
235,130,"https://ad.example.org/click?ad_id= 123456 &redir_url=http://ad.doubleclick.net/clk% 3 B246  885467% 3 B71938114% 3 Bx% 3 B  Conversion Tracking  A conversion is registered every time a user completes a goal set by an advertiser or marketer. A goal could be to get consumers to purchase a product, download a file, or even fill in a contact form on a  landing page. Each time a consumer completes one of these actions, a conversion will be recorded. In online advertising and marketing, conversion tracking is used to report on campaign performance. Also, it is  used in conjunction with the cost-per-action (CPA) model where publishers and affiliate advertisers/marketers  only receive payment once a conversion is registered.",727,114,181.75
236,130,"There are two main types of conversions: click-through conversion and view-through conversion . Click-through is when a user has clicked on an ad AND converted. To calculate the click-through conversion (CTC) rate, you divide the number of conversions by the number of  clicks that ad received. CTC % = (conversions ÷ clicks) x 100  View-through is when a user has seen an ad AND didn’t click it BUT converted. For example, if they saw an ad for a pair of shoes, but instead of clicking on the ad and purchasing them, they  went to the website directly and purchased them.",572,103,143.0
237,130,"To calculate the view-through conversion (VTC) rate, you divide the number of conversions by the number of  impressions the ad received. VTC % = (conversions ÷ impressions) x 100  The CTC and VTC rates will vary widely from one advertiser to another, as there are a number of factors at  play, such as the product or service the advertiser is promoting and the audience exposed to the ads. What is an attribution window? With both conversion models, there is something called an attribution window , which refers to the time  between when a user first saw or clicked on the ad and the time they actually converted. The attribution window varies between advertisers, but it can be anywhere from 24 hours to 30 days.",714,128,178.5
238,130,"Finding the right attribution-window time frame can be tricky because the longer an attribution window is, the  less accurate the attribution becomes. It can be difficult to know whether a user converted because they saw an ad 30 days before the conversion  or because they were persuaded to convert via some other advertising channel. 137",339,57,84.75
239,131,"Similarly, if the attribution window is too short, it could exclude some users who were exposed to the ad and  converted as a result of seeing the ad. This not only affects the advertiser’s attribution reports, but also  impacts the publisher’s potential revenue. The advantages and disadvantages of these two types of conversions are as follows:  Click-through conversion  View-through conversion  Advantages  Allows advertisers to accurately  attribute the clicks to conversions,  leaving little or no room for  inaccurate reporting. Depending on the product or  service being promoted, this type  of conversion can work better for  middle- and top-funnel campaigns  than for click-through conversions. Disadvantages  One of the main disadvantages of  this method has more to do with  the attribution model than the  click-through conversion itself.",851,141,212.75
240,131,"For example, if you use the first or  last click-attribution model, it can  be hard to know if that click was  the event that actually influenced  the user to convert. It’s possible that the ad was  displayed to the user, but they  may not have actually seen it (the  ad might not have been in the  viewport of the browser) or been  influenced by it. In other words, it’s  possible to attribute too many  conversions to the campaign. Conversion attribution may be lost  if a visitor deletes their cookies in  the time between seeing the ad  and converting. This method is also more prone to  fraud.",598,121,149.5
241,131,"For example, it’s possible  that the pixel could be fired without  the actual creative being shown. Then, if the user coverts, it will be  recorded as a view-through  conversion, despite the user never  actually seeing the ad. These two types of conversions are part of a larger and broader field of online advertising and marketing  known as attribution, which takes into account a number of different interactions a visitor has with a brand or  ad. Apart from there being different types of conversions, there are also different conversion-tracking methods:  138",564,98,141.0
242,132,"The Pixel Method  The pixel method for click-through tracking works like this:  In the pixel method for click-through conversions, the user visits a website, sees an ad and clicks on it. They  are then taken to the advertiser’s landing page and convert. When the user clicks on the ad, the advertiser’s  conversion pixel fires and records the user’s cookie ID in the advertiser’s ad server. Typically, an ad server will assume that the last click ID for the particular cookie ID generated the conversion. 139",508,89,127.0
